CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
2001br,277.607,34.1036,0.02046,34.8118,0.300223,34.639980330515435,0.17181966948456306,0.300223
2001cj,200.437,31.2468,0.02491,35.1973,0.228493,35.07431778483845,0.12298221516154939,0.228493
2002de,244.127,35.7084,0.0305,35.3638,0.283742,35.52267142458615,-0.15887142458615244,0.283742
2002ha,311.827,0.3127,0.0122,33.708,0.24076,33.50413805371818,0.20386194628181897,0.24076
2002he,124.995,62.8203,0.02469,35.1139,0.15531,35.05470978415634,0.05919021584366391,0.15531
2002jy,20.3178,40.4987,0.0187,34.9988,0.187715,34.441879852468034,0.5569201475319687,0.187715
2003ch,109.491,9.693,0.02895,35.6024,0.169987,35.407003687685844,0.1953963123141591,0.169987
2003he,359.738,-2.2481,0.02404,35.0862,0.240547,34.995757216814596,0.09044278318540222,0.240547
2003it,1.452,27.4527,0.02413,35.079,0.205996,35.00401272186571,0.0749872781342873,0.205996
2003iv,42.5302,12.8462,0.03351,35.9118,0.165632,35.73171106567749,0.18008893432251227,0.165632
2003kc,146.643,30.6553,0.0341,35.8566,0.205773,35.770523081693135,0.08607691830686548,0.205773
20040,328.879,0.8151,0.28655,40.6389,0.217509,40.71959602270656,-0.08069602270656162,0.217509
2004L,156.767,16.0187,0.03344,35.829,0.273673,35.727061982347564,0.10193801765243649,0.273673
2004br,187.783,0.6132,0.02426,34.807,0.18246,35.01588403420042,-0.20888403420041612,0.18246
2004gs,129.597,17.6277,0.02829,35.5996,0.235009,35.35589709211966,0.24370290788034055,0.235009
2004gu,191.603,11.9489,0.0467,36.4713,0.19409,36.47262618018118,-0.0013261801811808027,0.19409
2005ag,224.182,9.3285,0.08024,37.6668,0.119289,37.697615879192725,-0.03081587919272266,0.119289
2005de,270.597,26.0521,0.01495,34.1793,0.26677,33.949928923674754,0.22937107632524345,0.26677
2005hc,29.1998,-0.2137,0.04496,36.4634,0.173532,36.38753096987244,0.07586903012756352,0.173532
2005ir,19.1825,0.7946,0.0749,37.5656,0.154994,37.540334219773115,0.025265780226888523,0.154994
2005kc,338.531,5.5684,0.01386,34.0187,0.307194,33.78380361956941,0.23489638043059102,0.307194
2005ki,160.118,9.2023,0.02066,34.5709,0.187708,34.6614192514974,-0.09051925149739759,0.187708
2005ku,344.927,-0.0137,0.04397,36.2916,0.249078,36.33767532411255,-0.04607532411255022,0.249078
2005lz,32.7073,34.9828,0.04541,36.3247,0.195021,36.40984098444521,-0.08514098444521068,0.195021
20064,358.586,-0.9176,0.10351,38.2079,0.196456,38.28358605735015,-0.075686057350147,0.196456
2006ac,190.437,35.0686,0.02395,34.9871,0.184147,34.98747125754999,-0.00037125754999323135,0.184147
2006bt,239.127,20.046,0.03241,35.772,0.224228,35.65753109428143,0.11446890571856727,0.224228
2006cf,163.511,46.0267,0.04223,36.2931,0.151018,36.247345268650236,0.04575473134976704,0.151018
2006dm,355.449,-3.669,0.02161,34.8059,0.18018,34.760538736077194,0.04536126392280693,0.18018
2006ev,322.747,13.9892,0.02759,35.6739,0.216353,35.300398912812724,0.3735010871872788,0.216353
2006oa,320.929,-0.8435,0.06142,37.0747,0.183316,37.08967200129999,-0.01497200129998788,0.183316
2006qo,120.035,56.3688,0.02871,35.4779,0.275376,35.388552930960714,0.08934706903928458,0.275376
2006sr,0.8959,23.1962,0.02307,34.9949,0.180801,34.904799699948185,0.09010030005181591,0.180801
2006td,29.5657,36.3494,0.01504,34.1727,0.365029,33.96310531088743,0.20959468911257062,0.365029
2007O,224.022,45.4047,0.03732,35.8938,0.151724,35.971423908676755,-0.07762390867675606,0.151724
2007ae,255.467,79.0318,0.06485,37.0851,0.153034,37.21274906559076,-0.1276490655907594,0.153034
2007fb,359.218,5.5088,0.0168,34.4009,0.221698,34.20620836687701,0.19469163312299287,0.221698
2007kk,55.5969,39.2418,0.0413,36.2521,0.175538,36.19756922768543,0.05453077231457115,0.175538
2007nq,14.3899,-1.3886,0.04275,36.2137,0.152187,36.27471407186052,-0.06101407186051944,0.152187
2008050,204.198,5.1418,0.04627,36.2636,0.218105,36.45188692693954,-0.18828692693953997,0.218105
2008051,229.995,4.9046,0.03835,36.0125,0.17035,36.03212555178247,-0.019625551782468165,0.17035
20084,347.975,-0.5781,0.13834,39.0401,0.319084,38.96078847881069,0.07931152118931095,0.319084
2008R,45.9738,-11.9943,0.0126,33.8286,0.265115,33.57483044596711,0.2537695540328926,0.265115
2008Y,169.877,54.4628,0.07028,37.2961,0.226908,37.3953415044323,-0.09924150443229962,0.226908
2008bf,181.012,20.2452,0.02451,35.1061,0.235556,35.038538686073416,0.06756131392658205,0.235556
2008bz,189.741,11.1295,0.0613,37.1631,0.123921,37.08524725157544,0.07785274842456147,0.123921
2008gg,21.346,-18.1724,0.03107,35.67,0.236835,35.56376384482163,0.10623615517837237,0.236835
2009D,58.5951,-19.1817,0.02476,35.008,0.162015,35.06096726178399,-0.05296726178399069,0.162015
2009bv,196.835,35.7844,0.03748,36.2564,0.149974,35.980959704310784,0.275440295689215,0.149974
2009dc,237.801,25.7078,0.02179,34.3468,0.19901,34.77883449732403,-0.4320344973240253,0.19901
2009do,188.743,50.8512,0.04027,36.0403,0.147245,36.14115112866702,-0.10085112866701706,0.147245
2009ds,177.267,-9.7291,0.02033,34.5072,0.233893,34.625933962345286,-0.11873396234528855,0.233893
2009kk,57.4345,-3.2644,0.01244,33.7023,0.266666,33.546824140729484,0.155475859270517,0.266666
2009na,161.756,26.5439,0.02209,34.7477,0.199095,34.80899916138554,-0.06129916138554137,0.199095
2009nq,348.821,19.0229,0.01527,34.1657,0.28688,33.99642710300952,0.16927289699047776,0.28688
2010Y,162.766,65.7797,0.01142,33.7403,0.254135,33.35942260335601,0.3808773966439887,0.254135
2010ag,255.973,31.5017,0.03336,35.8159,0.198961,35.72173707667897,0.09416292332102927,0.198961
2010ai,194.85,27.9964,0.01918,34.9792,0.21848,34.497673850023645,0.4815261499763537,0.21848
2010ao,205.921,3.9,0.02422,34.943,0.2098,35.01223799931779,-0.06923799931779229,0.2098
2010dw,230.668,-5.9211,0.03871,36.0125,0.204712,36.05296726369818,-0.04046726369817577,0.204712
2010kg,70.035,7.35,0.01595,33.9999,0.334729,34.09211606894792,-0.0922160689479199,0.334729
