CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg
1345582,33.7065,-4.6747,0.45878,41.9679,0.252185,41.90840846046906,0.0594915395309385,0.252185,27900,109179,433721,1749463,3893044,10672075
13511,40.6124,-0.7941,0.23653,40.4674,0.193131,40.24710818219528,0.2202918178047213,0.193131,27949,110589,444705,1691072,3718494,10278410
13727,317.588,0.9326,0.22534,40.1329,0.188923,40.12883086263482,0.0040691373651782,0.188923,31783,125397,481958,1769767,3869812,9950571
13830,351.562,-0.3823,0.32985,40.8444,0.209813,41.07065477922046,-0.2262547792204614,0.209813,28549,110371,431731,1682885,3552369,8441346
13894,1.6906,-0.0368,0.12356,38.8009,0.333367,38.6956259214133,0.1052740785866959,0.333367,25874,104741,429509,1740519,3875826,9983013
13934,342.111,-0.4353,0.32931,41.4109,0.310571,41.06654557021736,0.3443544297826406,0.310571,28153,111459,427851,1649962,3476116,8579485
140152,162.393,57.6157,0.20864,39.8798,0.15965,39.94179308726686,-0.0619930872668561,0.15965,12101,50033,188703,744502,1678023,4521549
14024,318.199,0.9163,0.14759,39.134,0.188785,39.11352259396751,0.0204774060324908,0.188785,31757,125814,496242,1863332,3955967,9983424
14157,51.1367,1.0224,0.21083,39.806,0.155718,39.96709439044967,-0.1610943904496693,0.155718,14381,58137,238954,845344,1732465,4468009
14284,49.0493,-0.6009,0.18037,39.3688,0.13762,39.5909861672509,-0.2221861672509035,0.13762,15603,64101,254890,1029465,2327364,6296032
14331,7.8887,-0.1358,0.21976,40.2387,0.220195,40.0678061301878,0.170893869812204,0.220195,26084,106191,441017,1768399,3993376,10615779
14421,31.8299,1.2521,0.174,39.5734,0.137128,39.5049145911986,0.0684854088014006,0.137128,28123,110534,436206,1742907,3879429,10361132
14437,332.081,-1.1964,0.14792,39.0382,0.157931,39.11880428243464,-0.0806042824346349,0.157931,22692,92846,364123,1499533,3334940,8824053
14984,313.834,-0.0928,0.19549,39.9082,0.195934,39.78448428474532,0.1237157152546828,0.195934,24192,94399,359435,1496846,3416124,10010143
150254,183.211,47.1458,0.27508,40.5286,0.241865,40.61839770321263,-0.089797703212632,0.241865,12637,46195,191316,770532,1699106,4590520
150509,241.234,54.8781,0.2928,40.7458,0.174302,40.77317576634832,-0.0273757663483138,0.174302,12453,50209,198417,799121,1792093,4992644
15201,337.519,0.0036,0.20736,40.316,0.333666,39.92689095524595,0.3891090447540506,0.333666,26500,112593,461251,1728431,3604104,8782416
15234,16.9583,0.8282,0.13514,39.0775,0.31333,38.90571503447942,0.1717849655205796,0.31333,26862,113915,453541,1866447,4044823,10606979
15287,323.96,-1.0574,0.2363,40.3805,0.155735,40.24472966036865,0.1357703396313496,0.155735,35502,135358,498720,1809113,3915866,9813694
15354,6.7737,-0.126,0.22069,40.0798,0.266821,40.07807576584961,0.0017242341503873,0.266821,28602,114534,457532,1760484,3859462,10613117
15421,33.7416,0.6025,0.18443,39.7891,0.142656,39.64438183437892,0.1447181656210787,0.142656,31813,120723,456204,1768097,3938518,10631850
15440,39.7207,0.0901,0.2613,40.447,0.207526,40.49153620841223,-0.0445362084122251,0.207526,25036,100785,423668,1716929,3850349,10355503
15467,320.02,-0.1774,0.20847,39.8758,0.146778,39.93981878335671,-0.0640187833567154,0.146778,32018,127519,518875,2002123,4188990,10105620
15584,43.4955,0.987,0.28333,40.6596,0.184378,40.69156936359208,-0.0319693635920828,0.184378,23523,94068,375772,1500798,3334672,8777815
15674,340.829,0.2629,0.19555,39.958,0.212325,39.785224063726055,0.1727759362739434,0.212325,29775,115032,448524,1677201,3484011,8599094
15704,40.2107,0.6588,0.36952,41.4498,0.244353,41.35672769120077,0.0930723087992362,0.244353,26940,107192,430445,1730681,3835113,10182459
15897,11.6814,-1.0329,0.17357,39.5403,0.18318,39.49899930165085,0.0413006983491541,0.18318,29867,117715,457954,1791314,3971557,10746218
15901,31.9763,-0.5354,0.20368,39.9041,0.171481,39.883567578298894,0.0205324217011053,0.171481,26400,106424,428366,1720775,3960753,10792158
160039,184.975,48.1403,0.27085,40.4887,0.166124,40.58009150712589,-0.0913915071258912,0.166124,12966,52757,201428,754651,1664427,4559407
160126,163.283,57.2013,0.36023,41.0791,0.230289,41.29237569026348,-0.2132756902634867,0.230289,12270,48383,192952,747996,1679972,4548429
160198,242.905,53.9703,0.34899,41.2499,0.158604,41.21243160753895,0.0374683924610508,0.158604,12977,53242,208299,826724,1833302,5041620
16021,13.8437,-0.3888,0.12336,38.6164,0.162163,38.69183722096723,-0.0754372209672311,0.162163,29322,114970,450436,1768914,3991992,10870234
16093,350.362,1.1325,0.33439,41.1204,0.23572,41.10495892647402,0.0154410735259773,0.23572,25754,104136,404077,1515549,3305925,8428346
16211,348.164,0.2669,0.30939,41.0177,0.300429,40.91043807964127,0.1072619203587308,0.300429,26281,107002,430646,1673166,3494013,8441927
16350,323.639,-0.8858,0.23684,40.2279,0.210237,40.25031063580981,-0.0224106358098126,0.210237,35425,138733,501605,1848352,3973069,9869266
170428,243.619,54.003,0.30007,40.9837,0.198158,40.83418749346961,0.1495125065303924,0.198158,13537,54300,212796,828776,1844500,5056776
17220,9.7015,-0.1792,0.17769,39.3394,0.257355,39.55512407924062,-0.2157240792406227,0.257355,28622,115306,460230,1822468,4065003,10666808
17340,41.2121,0.3648,0.25625,40.3729,0.207312,40.44349349522032,-0.0705934952203151,0.207312,27530,107470,431453,1684074,3721870,9978146
17464,6.6408,0.042,0.25345,40.0303,0.262822,40.41647787448066,-0.3861778744806656,0.262822,29863,117271,463550,1756036,3851441,10583459
17497,37.1366,-1.0421,0.14388,39.0756,0.170594,39.05337089998445,0.0222291000155507,0.170594,27066,105150,412076,1683373,3811936,10735435
17801,316.093,-0.898,0.20515,40.1661,0.227714,39.90095971287707,0.2651402871229322,0.227714,23190,99628,395069,1605458,3605126,9802497
17811,12.8787,-0.9474,0.21186,39.9136,0.194498,39.9789100282953,-0.0653100282953005,0.194498,25793,105080,426511,1762544,3963128,10835038
